56430.99998,6.670685,21.49126
56440.99998,6.682838,21.48210
56450.99998,6.694940,21.47273
56460.99998,6.706993,21.46315
56470.99998,6.718993,21.45336
56480.99998,6.730943,21.44337
56490.99998,6.742839,21.43318
56500.99998,6.754683,21.42280
56510.99998,6.766473,21.41222
56520.99998,6.778209,21.40145
56530.99998,6.789890,21.39049
56540.99998,6.801515,21.37936
56550.99998,6.813085,21.36804
56560.99998,6.824598,21.35654
56570.99998,6.836054,21.34487
56580.99998,6.847452,21.33304
56590.99998,6.858791,21.32103
56600.99998,6.870072,21.30886
56610.99998,6.881294,21.29654
56620.99998,6.892455,21.28406
56630.99998,6.903557,21.27142
56640.99998,6.914596,21.25864
56650.99998,6.925575,21.24572
56660.99998,6.936491,21.23265
56670.99998,6.947345,21.21944
56680.99998,6.958135,21.20610
56690.99998,6.968862,21.19263
56700.99998,6.979525,21.17903
56710.99998,6.990123,21.16531
56720.99998,7.000655,21.15147
56730.99998,7.011122,21.13751
56740.99998,7.021523,21.12344
56750.99998,7.031857,21.10926
56760.99998,7.042123,21.09498
56770.99998,7.052323,21.08059
56780.99998,7.062453,21.06611
